Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win
064,9187.103692972882,0.5750903894921613,63.78589137921038,9194.015812411813,0.5753552885009171,63.831534253103314,True,72
065,0.0012253065646748626,0.40060302518314755,0.01963281067043772,0.0012070159919979188,0.3958491977295574,0.01941670973981572,True,81
066,0.0010148342972249448,0.2856793652355181,0.018262395133277924,0.0010203604193899716,0.28606532078655017,0.018321757503461898,True,81
067,0.000860245071263367,0.31358632488017146,0.016360085120668798,0.0008618513044235558,0.31395367747190955,0.016382725093179028,True,81
068,0.0013542651082506824,0.1983786092275208,0.021767465425667758,0.0013849553772253072,0.20447442037324878,0.02202732120758234,True,81
069,0.001175159125901725,0.3902054067763027,0.018735019038042817,0.0011823066068018316,0.39069853300475615,0.01879677896754169,True,81
070,19.028992412831546,2.026897021722402,2.101422158366901,18.947372344155934,2.0269049985924545,2.1005899773330916,True,4
071,273.4114419770701,5.874235007881844,6.48192491015908,273.8861334153933,5.8963821030288885,6.483088029237495,True,47
072,23.504780225563298,1.3089698229878395,2.7501982322479193,23.460064311371514,1.3088587538407446,2.74663924689192,True,3
073,6834.913977469434,0.45813233655139934,57.14461535834421,6835.336255975069,0.45822131831513735,57.15260136412546,True,78
074,33.56831713232489,0.10031785506822963,3.265292623211306,33.568317132324886,0.10031785506822961,3.2652926232113053,True,2
075,110.8298518703867,0.18300965231775349,4.72758922046275,236.15974581335067,0.16673870530507995,5.442427721082453,True,2
076,4475.027934242464,0.17899142768531573,52.32929033645439,4474.1916599606775,0.17898356764402518,52.31800884277017,True,100
077,4456.857603909844,0.2799309319748207,52.11764568792345,4461.462688440699,0.2799474774417666,52.145334444982645,True,100
078,3841.716302884253,0.2911649618187905,48.59252875213099,3838.470706231422,0.2911501324046113,48.580316730187185,True,100
079,5562.83770592659,0.1860751455820494,57.645030766377886,5610.998692011677,0.19135977995453662,57.858519676980094,True,100
080,5616.135730622804,0.23450320677345396,58.381128525593944,5667.133106485917,0.23643786165990816,58.60228589543086,True,100
081,4527.641759037369,0.5138735246397463,52.061757768975305,4528.3277671276455,0.513890878369909,52.04840348367791,True,100
082,4474.542054587387,0.28864981473350027,52.343314368517454,4475.265942688537,0.288720353137366,52.33356890867005,True,100
083,5095.781715499988,0.26906748453396573,55.362238620570544,5097.216705698486,0.2690728846611033,55.37147225033398,True,100
084,100.53329085278591,1.855125559842493,5.122884281901807,100.53329085278591,1.855125559842493,5.122884281901807,False,50
085,103.66388851768343,1.2287730553473595,5.416903598851391,103.66388851768343,1.2287730553473595,5.416903598851391,True,2
086,4526.181937123169,0.8113088193953312,24.02206483800008,4526.011555868624,0.8117219493039777,24.022992526528046,True,100
087,42.29142609152918,0.5547379028461622,2.7535584122843524,42.34096689985566,0.5547576439196233,2.7555402762930457,True,2
088,39.251836750470744,0.3099547006752799,2.417255221629444,39.25123353508439,0.30994431266871203,2.4170787655730823,True,3
089,27375.2232648907,0.02547797259298152,99.79359280058554,28188.659417982242,0.025659066103392213,100.66728277834072,True,96
090,10535.772582703503,0.016894384826032977,68.82427782372142,10567.97546495641,0.016917237585833182,68.90973862782275,True,97
091,12061.98145070284,0.017247662602001657,70.99310069531936,12236.649381423365,0.017301230950801057,71.211084521668,True,97
092,1109.926961253241,0.006343316725908781,25.869352028858657,1171.5870668233697,0.006380981999637042,26.084840666780224,True,15
093,5825.36481569132,1.2937649767946855,36.473765743806304,5822.730737509382,1.2931170548227686,36.45509957805298,False,50
094,2286794.186118002,0.5586814300687759,1177.569281106083,2297389.057863058,0.5585006131295049,1176.2965176759308,True,87
095,1.9460307941697672,0.07956758755346117,1.0640914490326554,1.9472493076477169,0.07957831236859159,1.06440281421409,True,49
096,32.85019170741202,2.3030229881352673,3.9861359631538065,32.8522404707963,2.3031107339572583,3.986496665572645,True,3
097,1.4618297473718236e-05,0.057653051415666665,0.0030205295103387327,1.4650987866914815e-05,0.057687755415479304,0.003024708059584511,True,15
098,4.197752046087696,0.02268984185210915,1.5917286048389652,4.283447377721886,0.022958097690633603,1.6123446854468177,True,21
099,3.173352317431397,0.022329270937449543,1.3729841499476376,3.131323585802363,0.022243162453868585,1.367980375719839,True,18
100,9.822791231023161e-05,0.03392003707230165,0.007430199046732361,9.834779821829495e-05,0.03394341164401352,0.007435483163654921,True,34
101,9.273708836030315e-05,0.032638626703141216,0.0072256369851857625,9.273708836030317e-05,0.03263862670314124,0.007225636985185767,False,50
102,0.05056384016861822,0.01718628551920341,0.14025139833412975,0.1216544108915159,0.024354842235865697,0.1942295015746937,True,100
103,0.008322909449077688,0.32266706129136835,0.06891446928041205,0.009498799058265863,0.32326137137287636,0.07419236359715017,True,100
104,427.0647798900204,1.6982735809249223,11.988505485158502,450.7383708952528,1.69805236147335,11.973017569103968,True,2
105,16897.312264696702,1.6474796371038303,72.3059854506861,16897.312264696706,1.6474796371038305,72.30598545068612,True,68
106,12237.595023118227,1.4684702882212783,87.30188289274848,12237.595023118227,1.4684702882212783,87.30188289274847,True,36
107,0.0014526183598187875,0.29349463862648645,0.02604374974774285,0.0014526183598187873,0.2934946386264864,0.02604374974774285,True,81
108,6643.569427387983,0.19564710948980918,63.620439239472226,6643.569427387983,0.19564710948980918,63.620439239472226,True,100
109,5521.3454585813815,14722524675847.193,31.495584207479283,5579.425897825071,14722524675847.191,31.583041708100183,False,50
110,5499.017137599166,14712347873604.756,30.99145797954525,5546.6429124551505,14712347873604.76,31.08260619967434,False,50
111,5498.110036929044,18989147519740.78,31.043298446439756,5499.643464751417,18989147519740.78,31.04348748532676,False,50
112,382332.520069476,0.12263978787423853,403.66784364091416,463414.1721069608,0.1323995493102019,426.03859678587895,True,87
113,1.290044557421846,0.05982792282827336,0.7978971891217885,1.306573830259877,0.06025554799581014,0.8031188532322909,True,49
114,1.2949479528936103,0.06003117161604401,0.7989436518796809,1.3005535555234402,0.059807868297922194,0.8008528435236453,True,49
